name,country,points,rebounds,steals,assists,fouls,plus_minus,blocked,goals_percentage,turnovers
梅杰里,突尼斯,16.2,10.2,1.0,2.4,2.8,1.0,3.2,54.4,2.2
戈贝尔,法国,10.1,9.1,0.6,1.8,3.1,9.4,1.9,62.8,1.1
特纳,美国,7.6,6.8,0.6,0.0,2.3,8.5,1.8,47.2,1.1
克勒贝尔,德国,11.2,3.0,1.0,0.6,1.2,0.2,1.8,51.2,1.2
I-法耶,塞内加尔,9.0,6.7,0.7,1.7,3.7,-11.0,1.7,33.3,2.0
瓦兰丘纳斯,立陶宛,14.0,8.8,1.0,1.0,2.6,12.0,1.6,64.3,1.0
塔图姆,美国,10.5,7.5,1.0,2.5,2.0,11.0,1.5,31.8,2.0
Y-恩多耶,塞内加尔,11.8,6.2,0.4,0.4,2.4,-15.4,1.4,50.0,1.6
巴尔克曼,波多黎各,9.0,5.2,1.4,2.0,2.8,-8.6,1.4,34.8,2.8
周琦,中国,9.0,7.6,0.8,1.2,3.2,0.4,1.4,52.9,1.8
伯奇,加拿大,11.6,7.0,2.0,1.6,1.8,5.2,1.4,57.9,1.4
巴尔文,捷克,9.1,8.4,0.6,1.4,2.5,-0.8,1.3,56.9,1.9
哈达迪,伊朗,14.6,10.8,0.6,4.4,3.0,-2.0,1.2,47.5,4.4
祖布科夫,俄罗斯,9.4,4.2,0.6,2.4,2.8,-2.2,1.2,42.9,2.0
奥科吉,尼日利亚,12.6,3.6,2.4,4.4,1.6,6.6,1.2,42.9,2.0
梅图,尼日利亚,9.0,5.6,0.4,1.4,1.6,3.2,1.2,51.6,1.6
布鲁克斯,意大利,4.4,4.2,1.6,1.0,2.4,11.6,1.2,56.3,0.4
罗建儿,韩国,23.0,12.8,1.4,1.8,1.8,-14.2,1.2,49.5,2.4
米尔纳,新西兰,5.2,3.0,1.2,1.0,1.8,2.6,1.2,50.0,0.2
卡博克洛,巴西,5.6,5.2,1.0,1.2,2.4,-1.8,1.2,35.5,1.0
库利克,波兰,8.5,4.6,0.8,1.0,2.0,-2.4,1.1,44.0,1.1
巴图姆,法国,7.3,3.6,0.7,2.4,1.6,6.1,1.1,40.0,0.7
加索尔,西班牙,14.4,5.5,1.1,4.1,1.9,13.6,1.1,42.5,1.8
德里亚,阿根廷,7.0,4.6,0.1,0.5,2.3,5.4,1.1,61.0,0.8
恩迪亚耶,塞内加尔,1.8,1.5,0.3,0.3,1.3,-4.0,1.0,75.0,0.3
帕帕尼古拉乌,希腊,3.8,4.0,0.6,1.4,2.4,1.8,1.0,20.0,0.0
帕帕扬尼斯,希腊,4.8,3.5,0.5,0.3,1.8,4.0,1.0,52.9,0.3
拉多西奇,黑山,4.0,4.4,0.4,0.6,1.8,0.2,1.0,56.3,1.0
尤度,尼日利亚,6.6,3.6,0.8,0.8,1.4,5.8,1.0,60.9,0.4
阿米奴,尼日利亚,8.2,6.6,1.4,3.6,1.4,7.4,1.0,45.2,2.0
埃里克,尼日利亚,8.5,3.8,1.3,0.5,2.0,8.5,1.0,78.9,1.0
伊利亚索瓦,土耳其,16.0,9.3,1.7,2.0,3.3,6.7,1.0,36.4,1.7
波尼卡,波兰,13.5,6.8,1.4,1.6,2.4,-2.5,0.9,50.0,2.4
M-法耶,塞内加尔,9.8,3.4,1.4,2.0,2.2,-14.0,0.8,32.7,1.6
萨博尼斯,立陶宛,10.5,6.3,0.3,3.8,3.0,8.0,0.8,48.4,1.0
达托梅,意大利,10.5,2.8,0.8,2.0,2.8,10.8,0.8,59.3,1.3
W-埃尔南戈麦斯,西班牙,7.0,3.9,0.5,1.3,1.6,0.1,0.8,52.4,0.8
崔俊龙,韩国,2.8,2.4,0.0,1.2,2.0,-6.6,0.8,26.7,1.0
博古特,澳大利亚,8.0,6.0,0.5,2.4,3.0,1.2,0.8,63.3,1.6
阿伯克龙比,新西兰,9.6,5.6,0.6,1.0,2.4,9.2,0.8,44.4,1.0
乔奎姆,安哥拉,11.6,5.0,0.8,0.4,3.0,-8.0,0.8,52.5,1.8
吉德雷提斯,立陶宛,0.7,1.3,0.0,1.0,1.0,8.0,0.7,0.0,0.7
洛佩斯,美国,2.6,1.9,0.0,0.3,0.6,-2.9,0.7,22.2,0.4
巴尔加斯,多米尼加,11.0,5.4,0.2,0.6,3.0,-4.6,0.6,55.3,0.8
L-蒙特罗,多米尼加,5.6,3.0,1.4,0.6,2.4,-4.4,0.6,34.5,0.8
卡雷拉,委内瑞拉,10.0,5.0,0.8,1.0,2.8,-2.8,0.6,53.6,1.4
恩多尔,塞内加尔,10.2,4.2,2.0,1.4,2.6,-19.6,0.6,37.7,2.6
G-阿德托昆博,希腊,14.8,8.8,2.4,2.4,3.6,6.6,0.6,52.2,2.6
迪亚斯,波多黎各,4.2,2.8,0.2,0.4,2.2,-6.2,0.6,42.9,1.0
武切维奇,黑山,14.6,6.4,0.8,1.2,1.2,-2.4,0.6,47.6,1.6
