name,rank,point,date
Al Hilal (KSA),42,1623,2010-1
Al Hilal (KSA),41,1636,2010-2
Al Hilal (KSA),43,1634,2010-3
Al Hilal (KSA),51,1613,2010-4
Al Hilal (KSA),45,1624,2010-5
Al Hilal (KSA),45,1624,2010-6
Al Hilal (KSA),46,1624,2010-7
Al Hilal (KSA),40,1633,2010-8
Al Hilal (KSA),45,1626,2010-9
Al Hilal (KSA),73,1596,2010-10
Al Hilal (KSA),77,1591,2010-11
Al Hilal (KSA),68,1595,2010-12
Al Hilal (KSA),72,1595,2011-1
Al Hilal (KSA),54,1608,2011-2
Al Hilal (KSA),68,1602,2011-3
Al Hilal (KSA),49,1623,2011-4
Al Hilal (KSA),51,1620,2011-5
Al Hilal (KSA),51,1620,2011-6
Al Hilal (KSA),51,1620,2011-7
Al Hilal (KSA),52,1620,2011-8
Al Hilal (KSA),64,1617,2011-9
Al Hilal (KSA),56,1623,2011-10
Al Hilal (KSA),50,1634,2011-11
Al Hilal (KSA),49,1633,2011-12
Al Hilal (KSA),55,1623,2012-1
Al Hilal (KSA),52,1633,2012-2
Al Hilal (KSA),50,1631,2012-3
Al Hilal (KSA),52,1629,2012-4
Al Hilal (KSA),45,1644,2012-5
Al Hilal (KSA),45,1644,2012-6
Al Hilal (KSA),47,1644,2012-7
Al Hilal (KSA),55,1632,2012-8
Al Hilal (KSA),48,1636,2012-9
Al Hilal (KSA),71,1608,2012-10
Al Hilal (KSA),67,1617,2012-11
Al Hilal (KSA),70,1618,2012-12
Al Hilal (KSA),74,1609,2013-1
Al Hilal (KSA),88,1594,2013-2
Al Hilal (KSA),77,1605,2013-3
Al Hilal (KSA),67,1616,2013-4
Al Hilal (KSA),76,1600,2013-5
Al Hilal (KSA),79,1600,2013-6
Al Hilal (KSA),79,1600,2013-7
Al Hilal (KSA),71,1607,2013-8
Al Hilal (KSA),66,1615,2013-9
Al Hilal (KSA),66,1608,2013-10
Al Hilal (KSA),73,1606,2013-11
Al Hilal (KSA),63,1615,2013-12
Al Hilal (KSA),63,1621,2014-1
Al Hilal (KSA),68,1617,2014-2
Al Hilal (KSA),71,1614,2014-3
Al Hilal (KSA),61,1626,2014-4
Al Hilal (KSA),50,1644,2014-5
Al Hilal (KSA),50,1644,2014-6
Al Hilal (KSA),53,1644,2014-7
Al Hilal (KSA),51,1649,2014-8
Al Hilal (KSA),51,1649,2014-9
Al Hilal (KSA),77,1613,2014-10
Al Hilal (KSA),85,1600,2014-11
Al Hilal (KSA),91,1596,2014-12
Al Hilal (KSA),88,1593,2015-1
Al Hilal (KSA),92,1595,2015-2
Al Hilal (KSA),93,1597,2015-3
Al Hilal (KSA),75,1613,2015-4
Al Hilal (KSA),84,1607,2015-5
Al Hilal (KSA),86,1607,2015-6
Al Hilal (KSA),86,1607,2015-7
Al Hilal (KSA),70,1620,2015-8
Al Hilal (KSA),81,1611,2015-9
Al Hilal (KSA),99,1590,2015-10
Al Hilal (KSA),95,1598,2015-11
Al Hilal (KSA),95,1605,2015-12
Al Hilal (KSA),88,1607,2016-1
Al Hilal (KSA),99,1592,2016-2
Al Hilal (KSA),91,1598,2016-3
Al Hilal (KSA),113,1582,2016-4
Al Hilal (KSA),130,1571,2016-5
Al Hilal (KSA),130,1571,2016-6
Al Hilal (KSA),129,1571,2016-7
Al Hilal (KSA),113,1578,2016-8
Al Hilal (KSA),128,1572,2016-9
Al Hilal (KSA),136,1569,2016-10
Al Hilal (KSA),117,1581,2016-11
Al Hilal (KSA),104,1592,2016-12
Al Hilal (KSA),97,1596,2017-1
Al Hilal (KSA),95,1601,2017-2
Al Hilal (KSA),92,1608,2017-3
Al Hilal (KSA),86,1616,2017-4
Al Hilal (KSA),74,1633,2017-5
Al Hilal (KSA),75,1636,2017-6
Al Hilal (KSA),75,1636,2017-7
Al Hilal (KSA),67,1641,2017-8
Al Hilal (KSA),49,1667,2017-9
Al Hilal (KSA),48,1672,2017-10
Al Hilal (KSA),66,1637,2017-11
Al Hilal (KSA),63,1639,2017-12
Al Hilal (KSA),73,1631,2018-1
Al Hilal (KSA),80,1624,2018-2
Al Hilal (KSA),104,1607,2018-3
Al Hilal (KSA),120,1594,2018-4
Al Hilal (KSA),121,1594,2018-5
Al Hilal (KSA),123,1594,2018-6
Al Hilal (KSA),124,1594,2018-7
Al Hilal (KSA),120,1595,2018-8
Al Hilal (KSA),114,1604,2018-9
Al Hilal (KSA),101,1611,2018-10
Al Hilal (KSA),101,1617,2018-11
Al Hilal (KSA),109,1609,2018-12
Al Hilal (KSA),108,1610,2019-1
Al Hilal (KSA),93,1621,2019-2
Al Hilal (KSA),91,1626,2019-3
Al Hilal (KSA),99,1617,2019-4
Al Hilal (KSA),92,1630,2019-5
Al Hilal (KSA),92,1630,2019-6
Al Hilal (KSA),94,1630,2019-7
Al Hilal (KSA),86,1636,2019-8
Al Hilal (KSA),82,1630,2019-9
Al Hilal (KSA),90,1623,2019-10
Al Hilal (KSA),66,1660,2019-11
Al Hilal (KSA),66,1655,2019-12
Al Hilal (KSA),68,1659,Today
Jeonbuk FC,82,1581,2010-1
Jeonbuk FC,55,1597,2010-2
Jeonbuk FC,63,1595,2010-3
Jeonbuk FC,66,1590,2010-4
Jeonbuk FC,77,1587,2010-5
Jeonbuk FC,75,1587,2010-6
Jeonbuk FC,71,1597,2010-7
Jeonbuk FC,79,1590,2010-8
Jeonbuk FC,116,1563,2010-9
Jeonbuk FC,112,1565,2010-10
Jeonbuk FC,113,1568,2010-11
Jeonbuk FC,107,1568,2010-12
Jeonbuk FC,107,1568,2011-1
Jeonbuk FC,105,1568,2011-2
Jeonbuk FC,88,1583,2011-3
Jeonbuk FC,92,1581,2011-4
Jeonbuk FC,77,1598,2011-5
Jeonbuk FC,66,1607,2011-6
Jeonbuk FC,71,1604,2011-7
Jeonbuk FC,64,1609,2011-8
Jeonbuk FC,66,1615,2011-9
Jeonbuk FC,49,1636,2011-10
Jeonbuk FC,52,1628,2011-11
Jeonbuk FC,50,1630,2011-12
Jeonbuk FC,51,1630,2012-1
Jeonbuk FC,53,1630,2012-2
Jeonbuk FC,108,1576,2012-3
Jeonbuk FC,82,1594,2012-4
Jeonbuk FC,82,1595,2012-5
Jeonbuk FC,70,1612,2012-6
Jeonbuk FC,61,1622,2012-7
Jeonbuk FC,84,1601,2012-8
Jeonbuk FC,73,1610,2012-9
Jeonbuk FC,78,1601,2012-10
Jeonbuk FC,95,1586,2012-11
Jeonbuk FC,98,1583,2012-12
Jeonbuk FC,98,1583,2013-1
Jeonbuk FC,102,1585,2013-2
Jeonbuk FC,102,1579,2013-3
Jeonbuk FC,101,1575,2013-4
Jeonbuk FC,145,1551,2013-5
Jeonbuk FC,167,1540,2013-6
Jeonbuk FC,161,1545,2013-7
Jeonbuk FC,129,1560,2013-8
Jeonbuk FC,147,1548,2013-9
Jeonbuk FC,146,1553,2013-10
Jeonbuk FC,169,1538,2013-11
Jeonbuk FC,166,1537,2013-12
Jeonbuk FC,164,1537,2014-1
Jeonbuk FC,153,1544,2014-2
Jeonbuk FC,166,1534,2014-3
Jeonbuk FC,167,1535,2014-4
Jeonbuk FC,217,1511,2014-5
Jeonbuk FC,215,1511,2014-6
Jeonbuk FC,182,1526,2014-7
Jeonbuk FC,166,1538,2014-8
Jeonbuk FC,157,1541,2014-9
Jeonbuk FC,124,1561,2014-10
Jeonbuk FC,101,1581,2014-11
Jeonbuk FC,107,1581,2014-12
Jeonbuk FC,105,1581,2015-1
Jeonbuk FC,117,1577,2015-2
Jeonbuk FC,95,1597,2015-3
Jeonbuk FC,102,1588,2015-4
Jeonbuk FC,89,1603,2015-5
Jeonbuk FC,94,1594,2015-6
Jeonbuk FC,89,1604,2015-7
Jeonbuk FC,104,1590,2015-8
Jeonbuk FC,114,1582,2015-9
Jeonbuk FC,132,1570,2015-10
Jeonbuk FC,132,1568,2015-11
Jeonbuk FC,130,1568,2015-12
Jeonbuk FC,132,1568,2016-1
Jeonbuk FC,120,1571,2016-2
Jeonbuk FC,134,1566,2016-3
Jeonbuk FC,130,1569,2016-4
Jeonbuk FC,122,1575,2016-5
Jeonbuk FC,122,1575,2016-6
Jeonbuk FC,99,1592,2016-7
Jeonbuk FC,89,1603,2016-8
Jeonbuk FC,76,1620,2016-9
Jeonbuk FC,89,1602,2016-10
Jeonbuk FC,80,1614,2016-11
Jeonbuk FC,89,1609,2016-12
Jeonbuk FC,87,1609,2017-1
Jeonbuk FC,86,1609,2017-2
Jeonbuk FC,84,1616,2017-3
Jeonbuk FC,89,1613,2017-4
Jeonbuk FC,98,1601,2017-5
Jeonbuk FC,94,1611,2017-6
Jeonbuk FC,90,1615,2017-7
Jeonbuk FC,92,1611,2017-8
Jeonbuk FC,94,1605,2017-9
Jeonbuk FC,80,1617,2017-10
Jeonbuk FC,85,1614,2017-11
Jeonbuk FC,88,1614,2017-12
Jeonbuk FC,90,1614,2018-1
Jeonbuk FC,85,1622,2018-2
Jeonbuk FC,102,1608,2018-3
Jeonbuk FC,68,1645,2018-4
Jeonbuk FC,77,1634,2018-5
Jeonbuk FC,78,1634,2018-6
Jeonbuk FC,68,1652,2018-7
Jeonbuk FC,102,1613,2018-8
Jeonbuk FC,82,1636,2018-9
Jeonbuk FC,80,1639,2018-10
Jeonbuk FC,78,1640,2018-11
Jeonbuk FC,78,1636,2018-12
Jeonbuk FC,78,1636,2019-1
Jeonbuk FC,80,1636,2019-2
Jeonbuk FC,88,1629,2019-3
Jeonbuk FC,71,1649,2019-4
Jeonbuk FC,72,1650,2019-5
Jeonbuk FC,76,1644,2019-6
Jeonbuk FC,74,1652,2019-7
Jeonbuk FC,71,1653,2019-8
Jeonbuk FC,72,1649,2019-9
Jeonbuk FC,75,1643,2019-10
Jeonbuk FC,71,1648,2019-11
Jeonbuk FC,72,1649,2019-12
Jeonbuk FC,75,1649,Today
AL Duhail SC,395,1450,2010-1
AL Duhail SC,393,1450,2010-2
AL Duhail SC,400,1450,2010-3
AL Duhail SC,405,1450,2010-4
AL Duhail SC,404,1450,2010-5
AL Duhail SC,405,1450,2010-6
AL Duhail SC,403,1450,2010-7
AL Duhail SC,402,1450,2010-8
AL Duhail SC,404,1451,2010-9
AL Duhail SC,377,1458,2010-10
AL Duhail SC,363,1463,2010-11
AL Duhail SC,366,1463,2010-12
AL Duhail SC,367,1463,2011-1
AL Duhail SC,364,1466,2011-2
AL Duhail SC,352,1469,2011-3
AL Duhail SC,368,1465,2011-4
AL Duhail SC,359,1465,2011-5
AL Duhail SC,361,1465,2011-6
AL Duhail SC,361,1465,2011-7
AL Duhail SC,364,1465,2011-8
AL Duhail SC,352,1470,2011-9
AL Duhail SC,338,1475,2011-10
AL Duhail SC,342,1471,2011-11
AL Duhail SC,340,1474,2011-12
AL Duhail SC,340,1472,2012-1
AL Duhail SC,327,1477,2012-2
AL Duhail SC,332,1478,2012-3
AL Duhail SC,328,1477,2012-4
AL Duhail SC,392,1456,2012-5
AL Duhail SC,391,1456,2012-6
AL Duhail SC,393,1456,2012-7
AL Duhail SC,395,1456,2012-8
AL Duhail SC,436,1450,2012-9
AL Duhail SC,409,1450,2012-10
AL Duhail SC,396,1456,2012-11
AL Duhail SC,374,1460,2012-12
AL Duhail SC,362,1465,2013-1
AL Duhail SC,350,1473,2013-2
AL Duhail SC,345,1473,2013-3
AL Duhail SC,346,1473,2013-4
AL Duhail SC,294,1496,2013-5
AL Duhail SC,293,1496,2013-6
AL Duhail SC,294,1496,2013-7
AL Duhail SC,302,1488,2013-8
AL Duhail SC,363,1467,2013-9
AL Duhail SC,352,1471,2013-10
AL Duhail SC,362,1466,2013-11
AL Duhail SC,341,1474,2013-12
AL Duhail SC,320,1483,2014-1
AL Duhail SC,323,1480,2014-2
AL Duhail SC,301,1490,2014-3
AL Duhail SC,376,1462,2014-4
AL Duhail SC,376,1462,2014-5
AL Duhail SC,377,1462,2014-6
AL Duhail SC,377,1462,2014-7
AL Duhail SC,363,1468,2014-8
AL Duhail SC,342,1475,2014-9
AL Duhail SC,357,1471,2014-10
AL Duhail SC,345,1474,2014-11
AL Duhail SC,322,1479,2014-12
AL Duhail SC,324,1479,2015-1
AL Duhail SC,357,1469,2015-2
AL Duhail SC,306,1484,2015-3
AL Duhail SC,264,1499,2015-4
AL Duhail SC,200,1526,2015-5
AL Duhail SC,198,1526,2015-6
AL Duhail SC,197,1526,2015-7
AL Duhail SC,209,1517,2015-8
AL Duhail SC,212,1520,2015-9
AL Duhail SC,230,1508,2015-10
AL Duhail SC,230,1511,2015-11
AL Duhail SC,214,1518,2015-12
AL Duhail SC,210,1522,2016-1
AL Duhail SC,263,1501,2016-2
AL Duhail SC,260,1503,2016-3
AL Duhail SC,217,1519,2016-4
AL Duhail SC,253,1506,2016-5
AL Duhail SC,253,1506,2016-6
AL Duhail SC,250,1506,2016-7
AL Duhail SC,248,1506,2016-8
AL Duhail SC,248,1510,2016-9
AL Duhail SC,239,1512,2016-10
AL Duhail SC,235,1512,2016-11
AL Duhail SC,226,1519,2016-12
AL Duhail SC,214,1525,2017-1
AL Duhail SC,211,1527,2017-2
AL Duhail SC,215,1529,2017-3
AL Duhail SC,189,1544,2017-4
AL Duhail SC,172,1551,2017-5
AL Duhail SC,191,1538,2017-6
AL Duhail SC,191,1538,2017-7
AL Duhail SC,188,1538,2017-8
AL Duhail SC,185,1544,2017-9
AL Duhail SC,186,1546,2017-10
AL Duhail SC,175,1554,2017-11
AL Duhail SC,167,1553,2017-12
AL Duhail SC,163,1557,2018-1
AL Duhail SC,134,1577,2018-2
AL Duhail SC,120,1593,2018-3
AL Duhail SC,114,1603,2018-4
AL Duhail SC,79,1633,2018-5
AL Duhail SC,80,1633,2018-6
AL Duhail SC,82,1633,2018-7
AL Duhail SC,78,1639,2018-8
AL Duhail SC,89,1628,2018-9
AL Duhail SC,84,1631,2018-10
AL Duhail SC,83,1633,2018-11
AL Duhail SC,88,1627,2018-12
AL Duhail SC,83,1627,2019-1
AL Duhail SC,88,1627,2019-2
AL Duhail SC,90,1626,2019-3
AL Duhail SC,86,1634,2019-4
AL Duhail SC,89,1632,2019-5
AL Duhail SC,90,1632,2019-6
AL Duhail SC,91,1632,2019-7
AL Duhail SC,103,1615,2019-8
AL Duhail SC,96,1615,2019-9
AL Duhail SC,93,1618,2019-10
AL Duhail SC,92,1622,2019-11
AL Duhail SC,91,1623,2019-12
AL Duhail SC,92,1621,Today
Shanghai SIPG FC,1250,1300,2010-1
Shanghai SIPG FC,1246,1300,2010-2
Shanghai SIPG FC,1247,1300,2010-3
Shanghai SIPG FC,1248,1300,2010-4
Shanghai SIPG FC,1247,1300,2010-5
Shanghai SIPG FC,1248,1300,2010-6
Shanghai SIPG FC,1257,1300,2010-7
Shanghai SIPG FC,1256,1300,2010-8
Shanghai SIPG FC,1255,1300,2010-9
Shanghai SIPG FC,1255,1300,2010-10
Shanghai SIPG FC,1260,1300,2010-11
Shanghai SIPG FC,1261,1300,2010-12
Shanghai SIPG FC,1263,1300,2011-1
Shanghai SIPG FC,1255,1300,2011-2
Shanghai SIPG FC,1252,1300,2011-3
Shanghai SIPG FC,1255,1300,2011-4
Shanghai SIPG FC,1246,1300,2011-5
Shanghai SIPG FC,1250,1300,2011-6
Shanghai SIPG FC,1253,1300,2011-7
Shanghai SIPG FC,1260,1300,2011-8
Shanghai SIPG FC,1267,1300,2011-9
Shanghai SIPG FC,1263,1300,2011-10
Shanghai SIPG FC,1260,1300,2011-11
Shanghai SIPG FC,1250,1300,2011-12
Shanghai SIPG FC,1255,1300,2012-1
Shanghai SIPG FC,1255,1300,2012-2
Shanghai SIPG FC,1253,1300,2012-3
Shanghai SIPG FC,1256,1300,2012-4
Shanghai SIPG FC,1250,1300,2012-5
Shanghai SIPG FC,1254,1300,2012-6
Shanghai SIPG FC,1258,1300,2012-7
Shanghai SIPG FC,1264,1300,2012-8
Shanghai SIPG FC,1262,1300,2012-9
Shanghai SIPG FC,1261,1300,2012-10
Shanghai SIPG FC,1259,1300,2012-11
Shanghai SIPG FC,1261,1300,2012-12
Shanghai SIPG FC,1260,1300,2013-1
Shanghai SIPG FC,1259,1300,2013-2
Shanghai SIPG FC,1530,1297,2013-3
Shanghai SIPG FC,1226,1305,2013-4
Shanghai SIPG FC,1582,1291,2013-5
Shanghai SIPG FC,1191,1311,2013-6
Shanghai SIPG FC,1170,1314,2013-7
Shanghai SIPG FC,1247,1305,2013-8
Shanghai SIPG FC,1183,1312,2013-9
Shanghai SIPG FC,1188,1311,2013-10
Shanghai SIPG FC,1182,1313,2013-11
Shanghai SIPG FC,1177,1313,2013-12
Shanghai SIPG FC,1174,1313,2014-1
Shanghai SIPG FC,1179,1313,2014-2
Shanghai SIPG FC,1060,1333,2014-3
Shanghai SIPG FC,1087,1330,2014-4
Shanghai SIPG FC,1020,1340,2014-5
Shanghai SIPG FC,1021,1340,2014-6
Shanghai SIPG FC,980,1346,2014-7
Shanghai SIPG FC,823,1360,2014-8
Shanghai SIPG FC,957,1350,2014-9
Shanghai SIPG FC,852,1356,2014-10
Shanghai SIPG FC,842,1357,2014-11
Shanghai SIPG FC,845,1357,2014-12
Shanghai SIPG FC,844,1357,2015-1
Shanghai SIPG FC,844,1357,2015-2
Shanghai SIPG FC,775,1373,2015-3
Shanghai SIPG FC,719,1381,2015-4
Shanghai SIPG FC,736,1378,2015-5
Shanghai SIPG FC,620,1400,2015-6
Shanghai SIPG FC,537,1421,2015-7
Shanghai SIPG FC,506,1428,2015-8
Shanghai SIPG FC,486,1431,2015-9
Shanghai SIPG FC,474,1438,2015-10
Shanghai SIPG FC,478,1438,2015-11
Shanghai SIPG FC,476,1438,2015-12
Shanghai SIPG FC,478,1438,2016-1
Shanghai SIPG FC,472,1439,2016-2
Shanghai SIPG FC,452,1446,2016-3
Shanghai SIPG FC,333,1481,2016-4
Shanghai SIPG FC,343,1477,2016-5
Shanghai SIPG FC,363,1467,2016-6
Shanghai SIPG FC,382,1463,2016-7
Shanghai SIPG FC,353,1466,2016-8
Shanghai SIPG FC,374,1461,2016-9
Shanghai SIPG FC,354,1469,2016-10
Shanghai SIPG FC,358,1469,2016-11
Shanghai SIPG FC,349,1469,2016-12
Shanghai SIPG FC,350,1469,2017-1
Shanghai SIPG FC,312,1487,2017-2
Shanghai SIPG FC,268,1500,2017-3
Shanghai SIPG FC,250,1506,2017-4
Shanghai SIPG FC,235,1521,2017-5
Shanghai SIPG FC,200,1534,2017-6
Shanghai SIPG FC,226,1523,2017-7
Shanghai SIPG FC,199,1532,2017-8
Shanghai SIPG FC,214,1527,2017-9
Shanghai SIPG FC,249,1512,2017-10
Shanghai SIPG FC,262,1504,2017-11
Shanghai SIPG FC,264,1504,2017-12
Shanghai SIPG FC,263,1504,2018-1
Shanghai SIPG FC,230,1521,2018-2
Shanghai SIPG FC,190,1543,2018-3
Shanghai SIPG FC,207,1529,2018-4
Shanghai SIPG FC,231,1523,2018-5
Shanghai SIPG FC,229,1523,2018-6
Shanghai SIPG FC,220,1530,2018-7
Shanghai SIPG FC,208,1535,2018-8
Shanghai SIPG FC,178,1553,2018-9
Shanghai SIPG FC,173,1558,2018-10
Shanghai SIPG FC,171,1560,2018-11
Shanghai SIPG FC,169,1560,2018-12
Shanghai SIPG FC,168,1560,2019-1
Shanghai SIPG FC,172,1560,2019-2
Shanghai SIPG FC,147,1570,2019-3
Shanghai SIPG FC,170,1561,2019-4
Shanghai SIPG FC,134,1582,2019-5
Shanghai SIPG FC,133,1583,2019-6
Shanghai SIPG FC,129,1589,2019-7
Shanghai SIPG FC,138,1580,2019-8
Shanghai SIPG FC,150,1573,2019-9
Shanghai SIPG FC,129,1583,2019-10
Shanghai SIPG FC,143,1574,2019-11
Shanghai SIPG FC,131,1576,2019-12
Shanghai SIPG FC,132,1576,Today
Persepolis,692,1379,2010-1
Persepolis,663,1390,2010-2
Persepolis,646,1394,2010-3
Persepolis,675,1385,2010-4
Persepolis,700,1377,2010-5
Persepolis,700,1377,2010-6
Persepolis,694,1381,2010-7
Persepolis,651,1395,2010-8
Persepolis,656,1392,2010-9
Persepolis,604,1401,2010-10
Persepolis,657,1394,2010-11
Persepolis,716,1377,2010-12
Persepolis,715,1377,2011-1
Persepolis,673,1390,2011-2
Persepolis,720,1378,2011-3
Persepolis,629,1400,2011-4
Persepolis,574,1408,2011-5
Persepolis,572,1408,2011-6
Persepolis,571,1408,2011-7
Persepolis,641,1397,2011-8
Persepolis,608,1404,2011-9
Persepolis,608,1403,2011-10
Persepolis,587,1410,2011-11
Persepolis,617,1403,2011-12
Persepolis,673,1395,2012-1
Persepolis,656,1396,2012-2
Persepolis,550,1420,2012-3
Persepolis,581,1412,2012-4
Persepolis,583,1411,2012-5
Persepolis,589,1411,2012-6
Persepolis,598,1408,2012-7
Persepolis,658,1395,2012-8
Persepolis,671,1394,2012-9
Persepolis,629,1400,2012-10
Persepolis,598,1405,2012-11
Persepolis,601,1405,2012-12
Persepolis,582,1411,2013-1
Persepolis,525,1425,2013-2
Persepolis,537,1422,2013-3
Persepolis,515,1426,2013-4
Persepolis,529,1421,2013-5
Persepolis,530,1421,2013-6
Persepolis,515,1426,2013-7
Persepolis,498,1432,2013-8
Persepolis,489,1436,2013-9
Persepolis,446,1445,2013-10
Persepolis,483,1439,2013-11
Persepolis,381,1462,2013-12
Persepolis,401,1458,2014-1
Persepolis,383,1461,2014-2
Persepolis,365,1466,2014-3
Persepolis,356,1467,2014-4
Persepolis,364,1467,2014-5
Persepolis,366,1467,2014-6
Persepolis,364,1467,2014-7
Persepolis,382,1463,2014-8
Persepolis,411,1456,2014-9
Persepolis,429,1450,2014-10
Persepolis,417,1454,2014-11
Persepolis,463,1445,2014-12
Persepolis,475,1441,2015-1
Persepolis,450,1446,2015-2
Persepolis,441,1447,2015-3
Persepolis,475,1439,2015-4
Persepolis,429,1450,2015-5
Persepolis,428,1450,2015-6
Persepolis,442,1447,2015-7
Persepolis,464,1442,2015-8
Persepolis,459,1442,2015-9
Persepolis,441,1449,2015-10
Persepolis,427,1452,2015-11
Persepolis,374,1464,2015-12
